filename,state,source_url,source_type,permission_notes,person_consent,creator,license,license_url
example.jpg,03_tail_only,own_photo,owned,Creator-owned image,yes,,,
datasets/intake/raw/00_no_liner/commons_eye_amber.jpg,00_no_liner,https://commons.wikimedia.org/wiki/File:Eye-Amber.jpg,wikimedia_commons,Open license; verify publicity/privacy before product release,not documented,Araujojoan96,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/
datasets/intake/raw/01_pen_near_eye/commons_applying_eye_cosmetics.jpg,01_pen_near_eye,https://commons.wikimedia.org/wiki/File:Applying_eye_cosmetics.jpg,wikimedia_commons,Open license; verify publicity/privacy before product release,not documented,Laura,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0/
datasets/intake/raw/05_filled_wing/commons_davinaseye.jpg,05_filled_wing,https://commons.wikimedia.org/wiki/File:Davinaseye.JPG,wikimedia_commons,Open license; verify publicity/privacy before product release,not documented,NightWingTNBA,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/
datasets/intake/raw/05_filled_wing/commons_lovely_russian_eyes.jpg,05_filled_wing,https://commons.wikimedia.org/wiki/File:Lovely_russian_eyes.jpg,wikimedia_commons,Open license; verify publicity/privacy before product release,not documented,Frank K.,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
datasets/intake/raw/05_filled_wing/commons_duochrome_macro.jpg,05_filled_wing,"https://commons.wikimedia.org/wiki/File:Duochrome_super_macro_eye_shadow_by_m.a.c.,_ben_nye,_and_coastal_scents..jpg",wikimedia_commons,Open license; verify publicity/privacy before product release,not documented,courtney murray rhodes,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
datasets/intake/raw/05_filled_wing/commons_glittering_eye_makeup.jpg,05_filled_wing,https://commons.wikimedia.org/wiki/File:Glittering_eye_make-up.jpg,wikimedia_commons,Open license; verify publicity/privacy before product release,not documented,Andy Rennie,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0/
datasets/intake/raw/05_filled_wing/commons_blue_eye_alice.jpg,05_filled_wing,https://commons.wikimedia.org/wiki/File:Blue_Eye_-_dedicated_to_Alice.jpg,wikimedia_commons,Open license; verify publicity/privacy before product release,not documented,Umberto Salvagnin,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
datasets/intake/raw/05_filled_wing/commons_macro_rainbow.jpg,05_filled_wing,https://commons.wikimedia.org/wiki/File:Macro_matte_rainbow_eyeshadow.jpg,wikimedia_commons,Open license; verify publicity/privacy before product release,not documented,courtney murray rhodes,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
datasets/intake/raw/05_filled_wing/commons_blink_closed.jpg,05_filled_wing,https://commons.wikimedia.org/wiki/File:B_l_i_n_k.jpg,wikimedia_commons,Open license; verify publicity/privacy before product release,not documented,weglet,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
datasets/intake/raw/05_filled_wing/commons_chrome_eyeshadow.jpg,05_filled_wing,https://commons.wikimedia.org/wiki/File:Chrome_Eyeshadow_portrait.jpg,wikimedia_commons,Open license; verify publicity/privacy before product release,not documented,jane doe,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
datasets/intake/raw/05_filled_wing/commons_model_courtney.jpg,05_filled_wing,https://commons.wikimedia.org/wiki/File:Close_up_portrait_of_model_Courtney.jpg,wikimedia_commons,Open license; verify publicity/privacy before product release,not documented,Lies Thru a Lens,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
datasets/intake/raw/05_filled_wing/commons_bold_eye_makeup.jpg,05_filled_wing,https://commons.wikimedia.org/wiki/File:Bold_Eye_Makeup_(Unsplash).jpg,wikimedia_commons,CC0 source; verify publicity/privacy before product release,not documented,Allef Vinicius,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en
datasets/intake/raw/05_filled_wing/commons_woman_eye_shadow.jpg,05_filled_wing,https://commons.wikimedia.org/wiki/File:A_woman_wearing_Eye_Shadow.jpg,wikimedia_commons,CC0 source; verify publicity/privacy before product release,not documented,wilkernet,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en
